,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
41,Asking Alexandria,Don't Pray For Me,4.6725,0.000123,0.549,0.887,0.000163,1,0.169,-5.306,0,0.0447,100.043,4,https://api.spotify.com/v1/tracks/2mBYmMpD6YKxoY7WXvLTXt,0.148,50
42,Asking Alexandria,The Death Of Me,4.314966666666667,4.33e-05,0.441,0.972,0.111,1,0.184,-3.873,0,0.0623,94.993,4,https://api.spotify.com/v1/tracks/72ukb9x8WEVaRUNPzl2MC9,0.235,54
43,Asking Alexandria,Killing You,3.1979,8.64e-05,0.354,0.985,0.000168,7,0.902,-3.034,1,0.19,194.991,4,https://api.spotify.com/v1/tracks/7a0Zmtupswb9Faai3Yj3Eo,0.117,54
44,Asking Alexandria,The Road,3.4479333333333333,0.000133,0.448,0.955,0.000132,7,0.1,-3.876,1,0.0453,91.528,4,https://api.spotify.com/v1/tracks/7aYabU0Fkj95tPYxoDVR0c,0.429,45
45,Asking Alexandria,Moving On,4.043216666666667,0.000569,0.446,0.761,0.0,3,0.182,-4.141,0,0.032,134.971,4,https://api.spotify.com/v1/tracks/7IiqF2tYiixnpBcFjkocjA,0.336,59
46,Asking Alexandria,Where Did It Go?,3.231516666666667,0.013,0.483,0.967,0.0,3,0.122,-3.861,0,0.475,139.954,4,https://api.spotify.com/v1/tracks/37PW0wi3E0gquMdluiYz47,0.207,52
47,Atreyu,The Theft,3.959766666666667,0.00144,0.336,0.944,0.00214,0,0.491,-4.435,1,0.126,149.915,3,https://api.spotify.com/v1/tracks/0wR4HlbaNNpLC5JXpNimBw,0.0771,0
48,Atreyu,Do You Know Who You Are?,3.8486666666666665,0.0105,0.594,0.717,0.000593,8,0.0838,-3.907,1,0.0524,160.047,4,https://api.spotify.com/v1/tracks/1S0Gef6k6mVJUKo5otRImi,0.583,45
49,Autopilot Off,Chromatic Fades,2.994,8.17e-06,0.309,0.983,0.00291,7,0.151,-3.976,1,0.195,196.006,4,https://api.spotify.com/v1/tracks/3cdrREElJslLSvtvttHYsI,0.508,23
50,Avenged Sevenfold,Almost Easy,3.90155,3.56e-05,0.378,0.959,0.000138,6,0.102,-4.615,1,0.062,174.932,4,https://api.spotify.com/v1/tracks/1gF5miexkFs5uZj04Y5t9M,0.338,51
51,Avenged Sevenfold,Scream,4.804,3.74e-05,0.549,0.941,1.45e-06,6,0.213,-4.802,0,0.0521,130.009,4,https://api.spotify.com/v1/tracks/3eAT0qa6ZyXkoxzKsofKEV,0.581,48
52,Avenged Sevenfold,Afterlife,5.873766666666667,0.000429,0.487,0.949,2.91e-05,2,0.231,-4.217,0,0.0798,110.02,4,https://api.spotify.com/v1/tracks/7akSWR8b2LrMnfh0ceChbj,0.406,53
53,Avenged Sevenfold,Brompton Cocktail,4.210666666666667,0.00091,0.504,0.961,3.04e-05,7,0.417,-4.697,1,0.0799,150.01,4,https://api.spotify.com/v1/tracks/3DIUKAhjWEnXxK3kXbf0kt,0.36,43
54,Avenged Sevenfold,Lost,5.0251,5.82e-05,0.214,0.955,0.00015,5,0.0973,-3.576,1,0.0687,179.997,4,https://api.spotify.com/v1/tracks/0L02hcIBi4vRLsJrVPCtDd,0.393,43
