,Artist,Title,Duration(m),acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence,Popularity
272,Fit For A King,The Resistance,4.261333333333333,7.33e-05,0.487,0.99,0.0,10,0.369,-4.035,0,0.17,125.077,4,https://api.spotify.com/v1/tracks/3eTB2ZjuW6OdUxHARmtDqr,0.246,34
273,Fit For A King,Destruction,3.4433333333333334,0.000103,0.289,0.992,1.59e-06,6,0.374,-3.961,1,0.219,139.085,4,https://api.spotify.com/v1/tracks/5bx0FIHbY1QDREoEDWlxDL,0.0735,32
274,Fit For A King,The Lioness,3.3391,0.000298,0.328,0.995,0.0,1,0.0605,-5.002,1,0.222,199.868,4,https://api.spotify.com/v1/tracks/7aPzbRddc3U2FvExoipZmg,0.154,32
275,Fit For A King,Pissed Off,3.5175666666666667,0.000477,0.453,0.987,0.000856,10,0.511,-4.225,1,0.177,160.12,4,https://api.spotify.com/v1/tracks/6stp2jmcYmixSqA7PqomgJ,0.34,50
276,Fit For A King,Deathgrip,4.2499666666666664,0.00744,0.407,0.947,4.31e-05,5,0.103,-6.575,0,0.216,159.935,4,https://api.spotify.com/v1/tracks/5hC0PHHxcPJnhg6Mnncub4,0.245,52
277,Fit For A King,Dead Memory (feat. Jake Luhrs),4.2213,0.000387,0.473,0.983,4.19e-06,6,0.57,-4.06,1,0.101,105.026,4,https://api.spotify.com/v1/tracks/04tBSM1jLxfYZoPjeWwRbd,0.155,45
278,Fit For A King,Cold Room,2.860516666666667,0.00116,0.481,0.983,2.02e-06,3,0.121,-3.73,0,0.155,140.052,4,https://api.spotify.com/v1/tracks/5mAbeNmPiyJ089q3eptg8P,0.47,42
279,Fit For A King,Ancient Waters,3.926,4.67e-05,0.424,0.978,0.0,6,0.0818,-2.747,1,0.105,145.035,4,https://api.spotify.com/v1/tracks/6GdSeAvyLi7lzCmRbVXTXV,0.35,33
280,Fit For A King,The Architect,3.648,6.09e-05,0.439,0.973,0.0,6,0.421,-2.868,1,0.0986,155.007,4,https://api.spotify.com/v1/tracks/6iWwzAsZhIpBca6oeODUIn,0.283,29
281,Fit For A King,Descendants,2.336883333333333,0.000104,0.498,0.934,2.25e-06,7,0.341,-3.064,1,0.0909,90.029,4,https://api.spotify.com/v1/tracks/64JdZ532ZT8G3kYEixU8wF,0.436,30
282,Fit For A King,"Messenger, Messenger",3.062,7.6e-05,0.274,0.958,0.0,6,0.37,-2.802,1,0.128,135.1,4,https://api.spotify.com/v1/tracks/0ej6k3QmRADKagk9oNJyJl,0.319,29
283,Fit For A King,Hollow Eyes,3.4017666666666666,0.000264,0.447,0.98,0.0,10,0.37,-2.919,0,0.0827,145.065,4,https://api.spotify.com/v1/tracks/1nIsozlOW8BDBe08J8foLT,0.326,28
284,Fit For A King,Slave to Nothing,3.9442166666666667,0.000801,0.48,0.989,0.0,10,0.272,-3.263,0,0.194,106.506,4,https://api.spotify.com/v1/tracks/3DORXsokB9S68sMo9XXqHl,0.214,37
285,Fit For A King,Hooked,3.2062166666666667,0.00391,0.331,0.961,2.64e-05,10,0.125,-3.503,0,0.154,107.073,4,https://api.spotify.com/v1/tracks/1yTxH6iJaZebErNHvEZG6q,0.289,34
286,For All Those Sleeping,Demons,4.202916666666667,2.99e-05,0.177,0.94,0.0115,0,0.939,-2.854,1,0.0912,158.22,4,https://api.spotify.com/v1/tracks/0If53tPT43NKeO770Vs5YA,0.193,0
287,For All Those Sleeping,Follow My Voice,3.9091,0.000588,0.382,0.993,0.0,3,0.131,-4.1,0,0.132,84.989,4,https://api.spotify.com/v1/tracks/7tmAwfTiehL8UXk3ToBFuI,0.113,0
288,For Today,Devastator,3.668,0.00561,0.323,0.876,3.16e-06,1,0.222,-5.108,1,0.116,134.947,4,https://api.spotify.com/v1/tracks/61fHf3cAlh3vXFV2oKCdPM,0.337,44
289,For Today,Break the Cycle (feat. Matty Mullins),4.200433333333334,0.000487,0.473,0.974,0.0,11,0.348,-1.692,0,0.111,134.959,4,https://api.spotify.com/v1/tracks/1kuf1RvZwt5KzKSR52bBPS,0.365,0
290,For Today,Fearless,3.7771,0.000303,0.216,0.949,0.0,0,0.591,-4.138,1,0.165,94.16,4,https://api.spotify.com/v1/tracks/2vk7Km8P5hvEMgDncfbHRF,0.204,0
291,Forevermore,Moths and Rust,3.145383333333333,0.000253,0.305,0.986,0.0,0,0.235,-2.998,1,0.204,122.156,4,https://api.spotify.com/v1/tracks/7nVVmhmkcpGGaPfIZzJqNm,0.0602,30
292,The Ghost Inside,Avalanche,3.5394833333333335,8.62e-05,0.551,0.986,9.76e-06,10,0.364,-4.217,0,0.154,115.145,4,https://api.spotify.com/v1/tracks/2Mw7cLQMNoexIOTKHDFXeq,0.125,51
293,The Ghost Inside,Dear Youth (Day 52),3.9635666666666665,3.38e-05,0.525,0.973,1.15e-06,10,0.267,-4.083,0,0.121,119.949,4,https://api.spotify.com/v1/tracks/5DtfTqxAYMg76AQgFaHqq3,0.397,47
294,The Ghost Inside,My Endnote,4.036416666666667,9.08e-05,0.434,0.941,0.0,0,0.0874,-4.02,0,0.0926,124.026,4,https://api.spotify.com/v1/tracks/68NCQR4xBOv59JZQBC7GiY,0.259,37
295,The Ghost Inside,Faith Or Forgiveness,2.83555,0.000119,0.241,0.994,0.00255,7,0.163,-0.745,1,0.162,186.017,4,https://api.spotify.com/v1/tracks/1VlNPiVrvBMCyTWYpNMqrX,0.528,36
296,The Ghost Inside,The Lion War,2.374216666666667,0.000379,0.31,0.975,0.000813,6,0.0523,-1.027,1,0.212,196.901,4,https://api.spotify.com/v1/tracks/4fCocLW3DBrA8C3TBOEvOT,0.466,30
297,The Ghost Inside,Blue And Gold,3.232666666666667,3.18e-05,0.475,0.995,0.067,7,0.351,-1.066,1,0.128,175.007,4,https://api.spotify.com/v1/tracks/4sOWjeOLLXnwxzCGDEwQYe,0.436,31
298,The Ghost Inside,Destined,2.3737666666666666,0.000327,0.539,0.979,0.00688,6,0.343,-0.906,1,0.104,95.135,4,https://api.spotify.com/v1/tracks/4Cyt2LhWv6vRvUaqJNL33O,0.567,32
299,The Ghost Inside,Engine 45,4.202583333333333,0.000296,0.493,0.948,0.0,10,0.267,-4.18,0,0.0964,146.526,4,https://api.spotify.com/v1/tracks/70SkWedrjKzDgKrqHZwAf4,0.482,55
300,The Ghost Inside,Dark Horse,3.3443833333333335,9.31e-05,0.534,0.91,0.0,9,0.186,-3.676,1,0.0731,114.955,4,https://api.spotify.com/v1/tracks/1ll885yKfJ7L81ypmiJgFM,0.196,47
301,The Ghost Inside,Unspoken,3.720666666666667,4.94e-05,0.276,0.985,0.000107,6,0.139,-4.059,1,0.211,94.992,4,https://api.spotify.com/v1/tracks/6dtEv4PRNEuy6WkYNIPvkp,0.419,40
302,Gideon,Calloused,3.6746666666666665,0.00122,0.555,0.994,0.0,6,0.362,-2.139,1,0.0909,114.956,4,https://api.spotify.com/v1/tracks/6QhzpxVOPMeku3Yuz3aeEl,0.318,34
303,Gideon,Survive (feat. Caleb Shomo of Beartooth),3.5,0.0108,0.655,0.996,0.0,6,0.344,-1.467,1,0.16,124.995,4,https://api.spotify.com/v1/tracks/55O7u30dc4HSPpMokrn3ls,0.274,39
304,Gideon,Bad Blood,2.7348833333333333,0.000195,0.525,0.957,0.000115,6,0.396,-3.419,1,0.162,107.491,4,https://api.spotify.com/v1/tracks/5O7A6fe7HJ5S3CmxKrfjzE,0.223,30
305,I Killed The Prom Queen,Thirty One & Sevens,3.4167666666666667,3.02e-06,0.408,0.988,0.000553,11,0.283,-3.586,0,0.0964,92.13,4,https://api.spotify.com/v1/tracks/36AheSgFmpF0Chue69lh7J,0.362,40
306,I Killed The Prom Queen,To The Wolves,3.361666666666667,4.59e-06,0.221,0.991,0.0018,7,0.134,-3.63,1,0.11,99.645,4,https://api.spotify.com/v1/tracks/6glqBcivlMa7OyEoAaQOXL,0.149,33
307,I See Stars,What This Means To Me,3.38,0.00161,0.45,0.946,0.0,5,0.128,-7.102,1,0.0638,140.036,4,https://api.spotify.com/v1/tracks/3r46RT7dY4iYnOih2dy37G,0.326,34
308,I See Stars,NZT48,4.328,0.000181,0.51,0.992,0.0149,4,0.287,-3.177,0,0.224,125.049,4,https://api.spotify.com/v1/tracks/4JFw1ctN7Tx69BAl1aRko3,0.0732,35
309,I See Stars,Filth Friends Unite,3.997333333333333,7.39e-05,0.23,0.949,0.275,0,0.089,-3.634,1,0.168,179.893,4,https://api.spotify.com/v1/tracks/46muDjhBE7uR4nrka2zI1G,0.132,39
310,I See Stars,Ten Thousand Feet,5.736433333333333,0.000532,0.264,0.96,0.00123,6,0.214,-2.968,1,0.0906,139.967,4,https://api.spotify.com/v1/tracks/3wcnWZU7iLFh3H2XD3voPU,0.212,55
311,I See Stars,Violent Bounce [People Like ¥øµ],4.665766666666666,0.000481,0.307,0.981,2.83e-05,9,0.126,-2.964,0,0.281,83.889,4,https://api.spotify.com/v1/tracks/6lHtGRjsKMeLwUMXzRmeJW,0.165,43
312,I See Stars,Murder Mitten,5.036,0.000281,0.399,0.974,0.0517,4,0.137,-3.423,0,0.105,143.009,4,https://api.spotify.com/v1/tracks/7xsfPgbNn4cNSGVaNygXEQ,0.121,53
313,Ice Nine Kills,Enjoy Your Slay,4.27,0.0265,0.225,0.954,0.0,7,0.346,-3.384,1,0.261,150.084,4,https://api.spotify.com/v1/tracks/1PtLGt35wsvUyZMBFQsV8B,0.398,42
314,Ice Nine Kills,Communion of the Cursed,4.507416666666667,0.00138,0.415,0.991,0.000177,1,0.08,-2.972,1,0.159,74.995,4,https://api.spotify.com/v1/tracks/2auOP3r6nHpsaQKUois5aW,0.102,0
315,Ice Nine Kills,Let's Bury the Hatchet...In Your Head,3.859766666666667,1.28e-05,0.478,0.993,0.000422,7,0.262,-2.482,1,0.154,109.847,4,https://api.spotify.com/v1/tracks/6tG3VEuLiHf32aTn6ZGIEB,0.109,0
316,Ice Nine Kills,The Fastest Way to a Girl's Heart Is Through Her Ribcage,3.13155,8.61e-05,0.408,0.98,0.0,6,0.105,-2.428,0,0.325,170.089,4,https://api.spotify.com/v1/tracks/6KxX5ae7NXKLYE3HL8Mmxe,0.357,0
